"Statistical Period","Global Irradiation (kWh/㎡)","Average Temperature(°C)","Theoretical Yield (kWh)","PV Yield (kWh)","Inverter Yield (kWh)","Export (kWh)","Import (kWh)","Loss Due to Export Limitation (kWh)","Loss Due to Export Limitation(Rp)","Charge (kWh)","Discharge (kWh)","Revenue (Rp)"
"2023-05-18 23:00:00","","","",0,0,0,"","","","","",0
"2023-05-19 00:00:00","","","",0,0,0,"","","",0,0,0
"2023-05-19 01:00:00","","","",0,0,0,"","","",0,0,0
"2023-05-19 02:00:00","","","",0,0,0,"","","",0,0,0
"2023-05-19 03:00:00","","","",0,0,0,"","","",0,0,0
"2023-05-19 04:00:00","","","",0,0,0,"","","",0,0,0
"2023-05-19 05:00:00","","","",0,0,0,"","","",0,0,0
"2023-05-19 06:00:00","","","",0.09,0.09,0,"","","",0,0,81
"2023-05-19 07:00:00","","","",0.41,0.41,0.14,"","","",0,0,369
"2023-05-19 08:00:00","","","",0.87,0.87,0.45,"","","",0,0,783
"2023-05-19 09:00:00","","","",0.79,0.79,0.48,"","","",0,0,711
"2023-05-19 10:00:00","","","",1.22,0.1,0,"","","",1.14,0,72
"2023-05-19 11:00:00","","","",1.2,0.15,0.09,"","","",1.07,0.01,126
"2023-05-19 12:00:00","","","",1.33,0,0,"","","",1.34,0,0
"2023-05-19 13:00:00","","","",0.95,0.48,0.18,"","","",0.47,0,432
"2023-05-19 14:00:00","","","",0.33,0.51,0,"","","",0.03,0.21,459
"2023-05-19 15:00:00","","","",0.23,0.49,0,"","","",0.01,0.27,441
"2023-05-19 16:00:00","","","",0.02,0.5,0.02,"","","",0,0.47,441
"2023-05-19 17:00:00","","","",0,0.55,0,"","","",0,0.6,495
"2023-05-19 18:00:00","","","",0,0.41,0,"","","",0,0.5,369
"2023-05-19 19:00:00","","","",0,0.34,0.02,"","","",0,0.39,306
"2023-05-19 20:00:00","","","",0,0.33,0,"","","",0,0.37,297
"2023-05-19 21:00:00","","","",0,0.17,0.02,"","","",0,0.25,153
"2023-05-19 22:00:00","","","",0,0,0,"","","",0,0.02,0
"2023-05-19 23:00:00","","","",0,0,0,"","","",0,0.02,0
"2023-05-20 00:00:00","","","",0,0,0,"","","",0,0.02,0
"2023-05-20 01:00:00","","","",0,0,0,"","","",0,0.02,0
"2023-05-20 02:00:00","","","",0,0,0,"","","",0,0.02,0
"2023-05-20 03:00:00","","","",0,0,0,"","","",0,0.02,0
"2023-05-20 04:00:00","","","",0,0,0,"","","",0,0.02,0
"2023-05-20 05:00:00","","","",0,0.18,0,"","","",0,0.21,162
"2023-05-20 06:00:00","","","",0.08,0.08,0,"","","",0,0,72
"2023-05-20 07:00:00","","","",0.36,0.25,0.01,"","","",0.11,0,225
"2023-05-20 08:00:00","","","",0.96,0.27,0,"","","",0.69,0,243
"2023-05-20 09:00:00","","","",1.24,0.36,0,"","","",0.88,0,324
"2023-05-20 10:00:00","","","",1.34,0.43,0.02,"","","",0.91,0,387
"2023-05-20 11:00:00","","","",1.5,0.45,0,"","","",1.05,0,405
"2023-05-20 12:00:00","","","",1.35,0.59,0.27,"","","",0.76,0,531
"2023-05-20 13:00:00","","","",1.28,1.28,0.98,"","","",0,0,1152
"2023-05-20 14:00:00","","","",0.69,0.7,0.39,"","","",0,0.01,630
"2023-05-20 15:00:00","","","",0.22,0.31,0.02,"","","",0.01,0.1,279
"2023-05-20 16:00:00","","","",0.01,0.31,0,"","","",0,0.3,279
"2023-05-20 17:00:00","","","",0,0.28,0,"","","",0,0.34,252
"2023-05-20 18:00:00","","","",0,0,0,"","","",0,0.02,0
"2023-05-20 19:00:00","","","",0,0,0,"","","",0,0.03,0
"2023-05-20 20:00:00","","","",0,0,0,"","","",0,0.02,0
"2023-05-20 21:00:00","","","",0,0,0,"","","",0,0.02,0
"2023-05-20 22:00:00","","","",0,0,0,"","","",0,0.02,0
"2023-05-20 23:00:00","","","",0,0,0,"","","",0,0.02,0
"2023-05-21 00:00:00","","","",0,0,0,"","","",0,0.02,0
"2023-05-21 01:00:00","","","",0,0,0,"","","",0,0.02,0
"2023-05-21 02:00:00","","","",0,0,0,"","","",0,0.02,0
"2023-05-21 03:00:00","","","",0,0,0,"","","",0,0.02,0
"2023-05-21 04:00:00","","","",0,0,0,"","","",0,0.02,0
"2023-05-21 05:00:00","","","",0,0.18,0,"","","",0,0.21,162
"2023-05-21 06:00:00","","","",0.05,0.3,0.02,"","","",0,0.25,270
"2023-05-21 07:00:00","","","",0.3,0.31,0,"","","",0.04,0.05,279
"2023-05-21 08:00:00","","","",0.81,0.65,0.36,"","","",0.16,0,585
"2023-05-21 09:00:00","","","",1.32,1.14,0.84,"","","",0.18,0,1026
"2023-05-21 10:00:00","","","",1.5,1.32,1,"","","",0.18,0,1188
"2023-05-21 11:00:00","","","",1.52,1.35,1.05,"","","",0.17,0,1215
"2023-05-21 12:00:00","","","",1.37,1.19,0.87,"","","",0.18,0,1071
"2023-05-21 13:00:00","","","",1.18,1.01,0.72,"","","",0.17,0,909
"2023-05-21 14:00:00","","","",0.76,0.58,0.27,"","","",0.18,0,522
"2023-05-21 15:00:00","","","",0.22,0.31,0.01,"","","",0.03,0.12,279
"2023-05-21 16:00:00","","","",0.03,0.3,0.02,"","","",0,0.27,270
"2023-05-21 17:00:00","","","",0,0.22,0,"","","",0,0.28,198
"2023-05-21 18:00:00","","","",0,0,0,"","","",0,0.02,0
"2023-05-21 19:00:00","","","",0,0,0,"","","",0,0.02,0
"2023-05-21 20:00:00","","","",0,0,0,"","","",0,0.02,0
"2023-05-21 21:00:00","","","",0,0,0,"","","",0,0.02,0
"2023-05-21 22:00:00","","","",0,0,0,"","","",0,0.02,0
"2023-05-21 23:00:00","","","",0,0,0,"","","",0,0.02,0
"2023-05-22 00:00:00","","","",0,0,0,"","","",0,0.03,0
"2023-05-22 01:00:00","","","",0,0,0,"","","",0,0.02,0
"2023-05-22 02:00:00","","","",0,0,0,"","","",0,0.02,0
"2023-05-22 03:00:00","","","",0,0,0,"","","",0,0.02,0
"2023-05-22 04:00:00","","","",0,0,0,"","","",0,0.02,0
"2023-05-22 05:00:00","","","",0,0.18,0,"","","",0,0.21,162
"2023-05-22 06:00:00","","","",0.01,0.3,0,"","","",0,0.29,270
"2023-05-22 07:00:00","","","",0.4,0.4,0.07,"","","",0.07,0.07,360
"2023-05-22 08:00:00","","","",1.03,0.85,0.4,"","","",0.18,0,765
"2023-05-22 09:00:00","","","",1.33,1.15,0.69,"","","",0.18,0,1035
"2023-05-22 10:00:00","","","",1.51,1.34,0.9,"","","",0.17,0,1206
"2023-05-22 11:00:00","","","",0.63,0.55,0.1,"","","",0.15,0.07,495
"2023-05-22 12:00:00","","","",0.45,0.43,0,"","","",0.12,0.1,387
"2023-05-22 13:00:00","","","",0.6,0.51,0,"","","",0.14,0.05,459
"2023-05-22 14:00:00","","","",0.47,0.5,0,"","","",0.09,0.12,450
"2023-05-22 15:00:00","","","",0.1,0.5,0,"","","",0,0.4,450
"2023-05-22 16:00:00","","","",0.01,0.52,0,"","","",0,0.51,468
"2023-05-22 17:00:00","","","",0,0.33,0,"","","",0,0.4,297
"2023-05-22 18:00:00","","","",0,0,0,"","","",0,0.02,0
"2023-05-22 19:00:00","","","",0,0,0,"","","",0,0.02,0
"2023-05-22 20:00:00","","","",0,0,0,"","","",0,0.02,0
"2023-05-22 21:00:00","","","",0,0,0,"","","",0,0.02,0
"2023-05-22 22:00:00","","","",0,0,0,"","","",0,0.02,0
"2023-05-22 23:00:00","","","",0,0,0,"","","",0,0.02,0
"2023-05-23 00:00:00","","","",0,0,0,"","","",0,0.02,0
"2023-05-23 01:00:00","","","",0,0,0,"","","",0,0.02,0
"2023-05-23 02:00:00","","","",0,0,0,"","","",0,0.02,0
"2023-05-23 03:00:00","","","",0,0,0,"","","",0,0.03,0
"2023-05-23 04:00:00","","","",0,0,0,"","","",0,0.02,0
"2023-05-23 05:00:00","","","",0,0.16,0,"","","",0,0.18,144
"2023-05-23 06:00:00","","","",0.01,0.26,0,"","","",0,0.25,234
"2023-05-23 07:00:00","","","",0.3,0.27,0,"","","",0.09,0.06,243
"2023-05-23 08:00:00","","","",0.6,0.42,0,"","","",0.18,0,378
"2023-05-23 09:00:00","","","",0.59,0.43,0,"","","",0.16,0,387
"2023-05-23 10:00:00","","","",0.58,0.48,0,"","","",0.14,0.04,432
"2023-05-23 11:00:00","","","",0.67,0.5,0,"","","",0.17,0,450
"2023-05-23 12:00:00","","","",0.53,0.5,0,"","","",0.13,0.1,450
"2023-05-23 13:00:00","","","",0.53,0.5,0,"","","",0.12,0.09,450
"2023-05-23 14:00:00","","","",0.45,0.47,0,"","","",0.07,0.09,423
"2023-05-23 15:00:00","","","",0.31,0.5,0,"","","",0,0.19,450
"2023-05-23 16:00:00","","","",0.07,0.44,0,"","","",0.01,0.38,396
"2023-05-23 17:00:00","","","",0,0.37,0,"","","",0,0.44,333
"2023-05-23 18:00:00","","","",0,0,0,"","","",0,0.02,0
"2023-05-23 19:00:00","","","",0,0,0,"","","",0,0.02,0
"2023-05-23 20:00:00","","","",0,0,0,"","","",0,0.02,0
"2023-05-23 21:00:00","","","",0,0,0,"","","",0,0.02,0
"2023-05-23 22:00:00","","","",0,0,0,"","","",0,0.02,0
"2023-05-23 23:00:00","","","",0,0,0,"","","",0,0.02,0
"2023-05-24 00:00:00","","","",0,0,0,"","","",0,0.02,0
"2023-05-24 01:00:00","","","",0,0,0,"","","",0,0.02,0
"2023-05-24 02:00:00","","","",0,0,0,"","","",0,0.02,0
"2023-05-24 03:00:00","","","",0,0,0,"","","",0,0.02,0
"2023-05-24 04:00:00","","","",0,0,0,"","","",0,0.02,0
"2023-05-24 05:00:00","","","",0,0.18,0,"","","",0,0.21,162
"2023-05-24 06:00:00","","","",0,0.25,0,"","","",0,0.25,225
"2023-05-24 07:00:00","","","",0.36,0.31,0,"","","",0.09,0.04,279
"2023-05-24 08:00:00","","","",0.58,0.41,0,"","","",0.17,0,369
"2023-05-24 09:00:00","","","",0.51,0.39,0,"","","",0.15,0.03,351
"2023-05-24 10:00:00","","","",0.59,0.42,0,"","","",0.17,0,378
"2023-05-24 11:00:00","","","",0.55,0.42,0,"","","",0.15,0.02,378
"2023-05-24 12:00:00","","","",0.64,0.49,0,"","","",0.16,0.01,441
"2023-05-24 13:00:00","","","",0.55,0.48,0,"","","",0.1,0.03,432
"2023-05-24 14:00:00","","","",0.4,0.49,0,"","","",0.05,0.14,441
"2023-05-24 15:00:00","","","",0.25,0.48,0,"","","",0.01,0.24,432
"2023-05-24 16:00:00","","","",0.05,0.47,0,"","","",0,0.42,423
"2023-05-24 17:00:00","","","",0,0.09,0,"","","",0,0.12,81
"2023-05-24 18:00:00","","","",0,0,0,"","","",0,0.02,0
"2023-05-24 19:00:00","","","",0,0,0,"","","",0,0.02,0
"2023-05-24 20:00:00","","","",0,0,0,"","","",0,0.03,0
"2023-05-24 21:00:00","","","",0,0,0,"","","",0,0.02,0
"2023-05-24 22:00:00","","","",0,0,0,"","","",0,0.03,0
"2023-05-24 23:00:00","","","",0,0,0,"","","",0,0.19,0
"2023-05-25 00:00:00","","","",0,0,0,"","","",0,0.31,0
"2023-05-25 01:00:00","","","",0,0,0,"","","",0,0.31,0
"2023-05-25 02:00:00","","","",0,0,0,"","","",0,0.29,0
"2023-05-25 03:00:00","","","",0,0,0,"","","",0,0.3,0
"2023-05-25 04:00:00","","","",0,0,0,"","","",0,0.3,0
"2023-05-25 05:00:00","","","",0,0,0,"","","",0,0.26,0
"2023-05-25 06:00:00","","","",0.07,0.07,0,"","","",0,0,63
"2023-05-25 07:00:00","","","",0.28,0.28,0,"","","",0,0,252
"2023-05-25 08:00:00","","","",0.31,0.31,0,"","","",0,0,279
"2023-05-25 09:00:00","","","",0.34,0.35,0,"","","",0,0.01,315
"2023-05-25 10:00:00","","","",0.38,0.38,0,"","","",0,0,342
"2023-05-25 11:00:00","","","",0.25,0.25,0,"","","",0,0,225
"2023-05-25 12:00:00","","","",0.41,0.41,0,"","","",0,0,369
"2023-05-25 13:00:00","","","",0.46,0.46,0,"","","",0,0,414
"2023-05-25 14:00:00","","","",0.23,0.23,0,"","","",0,0,207
"2023-05-25 15:00:00","","","",0.11,0.12,0,"","","",0,0.01,108
"2023-05-25 16:00:00","","","",0.06,0.06,0,"","","",0,0,54
"2023-05-25 17:00:00","","","",0,0,0,"","","",0,0,0
"2023-05-25 18:00:00","","","",0,0,0,"","","",0,0.02,0
"2023-05-25 19:00:00","","","",0,0,0,"","","",0,0.03,0
"2023-05-25 20:00:00","","","",0,0,0,"","","",0,0.02,0
"2023-05-25 21:00:00","","","",0,0,0,"","","",0,0.02,0
"2023-05-25 22:00:00","","","",0,0,0,"","","",0,0.03,0
"2023-05-25 23:00:00","","","",0,0,0,"","","",0,0.02,0
"2023-05-26 00:00:00","","","",0,0,0,"","","",0,0.02,0
"2023-05-26 01:00:00","","","",0,0,0,"","","",0,0.03,0
"2023-05-26 02:00:00","","","",0,0,0,"","","",0,0.02,0
"2023-05-26 03:00:00","","","",0,0,0,"","","",0,0.02,0
"2023-05-26 04:00:00","","","",0,0,0,"","","",0,0.03,0
"2023-05-26 05:00:00","","","",0,0.01,0,"","","",0,0.01,9
"2023-05-26 06:00:00","","","",0.05,0.05,0,"","","",0,0,45
"2023-05-26 07:00:00","","","",0.21,0.21,0,"","","",0,0,189
"2023-05-26 08:00:00","","","",0.66,0.05,0,"","","",1.32,0,0
"2023-05-26 09:00:00","","","",1.31,0,0,"","","",2.3,0,0
"2023-05-26 10:00:00","","","",0.82,0,"","","","",1.42,0.01,""
"2023-05-26 11:00:00","","","",0.01,0.25,"","","","",0.02,0.26,""
"2023-05-26 12:00:00","","","",0,0.37,0,"","","",0.01,0.44,333
"2023-05-26 13:00:00","","","",0,0.37,0,"","","",0.02,0.43,333
"2023-05-26 14:00:00","","","",0,0.39,0,"","","",0.01,0.43,351
"2023-05-26 15:00:00","","","",0,0.36,0,"","","",0.01,0.42,324
"2023-05-26 16:00:00","","","",0,0.35,0,"","","",0,0.4,315
"2023-05-26 17:00:00","","","",0,0.3,0,"","","",0,0.35,270
"2023-05-26 18:00:00","","","",0,0,0,"","","",0,0.03,0
