datetime,Temperature_C,Dew_Point_C,Humidity_%,Wind,Speed_kmh,Gust_kmh,Pressure_hPa,Precip_Rate_mm,Precip_Accum_mm,UV,Solar_w/m2
2023-05-18 00:00:00,21.41,21.0,97.25,,0.08,0.28,985.84,0.0,0.0,0.0,0.0
2023-05-18 01:00:00,20.8,20.47,97.75,,0.05,0.15,985.27,0.0,0.0,0.0,0.0
2023-05-18 02:00:00,20.79,20.55,98.67,,0.11,0.3,985.13,0.0,0.0,0.0,0.0
2023-05-18 03:00:00,21.01,20.78,98.75,,0.35,0.83,985.16,0.0,0.0,0.0,0.0
2023-05-18 04:00:00,20.68,20.47,99.0,,0.62,1.26,985.1,0.0,0.0,0.0,0.0
2023-05-18 05:00:00,20.43,20.17,98.25,,1.03,1.7,985.41,0.0,0.0,0.0,2.66
2023-05-18 06:00:00,21.12,20.57,96.33,,0.7,1.26,985.89,0.0,0.0,0.0,40.22
2023-05-18 07:00:00,24.21,22.35,89.42,,0.15,0.3,986.46,0.0,0.0,0.92,159.01
2023-05-18 08:00:00,26.64,23.23,81.42,,1.21,1.96,986.71,0.0,0.0,3.67,427.47
2023-05-18 09:00:00,28.78,23.73,74.08,,1.02,1.68,986.79,0.0,0.0,5.83,648.31
2023-05-18 10:00:00,30.14,23.26,66.67,,1.14,1.88,986.26,0.0,0.0,6.08,691.84
2023-05-18 11:00:00,30.87,23.59,65.33,,1.33,2.23,985.44,0.0,0.0,5.33,616.23
2023-05-18 12:00:00,30.73,23.67,66.08,,1.41,2.38,984.5,0.0,0.0,5.58,622.21
2023-05-18 13:00:00,30.8,24.2,68.0,,1.61,2.68,983.44,0.0,0.0,4.75,527.73
2023-05-18 14:00:00,29.67,24.11,72.08,,1.65,2.71,983.01,0.0,0.0,1.83,254.23
2023-05-18 15:00:00,28.4,23.13,73.17,,1.89,3.1,983.16,0.0,0.0,1.42,178.01
2023-05-18 16:00:00,27.11,22.3,74.83,,0.36,0.81,983.64,0.0,0.0,0.0,53.85
2023-05-18 17:00:00,25.7,22.79,84.08,,0.01,0.07,984.25,0.0,0.0,0.0,3.82
2023-05-18 18:00:00,24.12,22.75,92.17,,0.0,0.0,984.9,0.0,0.0,0.0,0.0
2023-05-18 19:00:00,23.87,22.85,94.42,,0.0,0.01,985.55,0.0,0.0,0.0,0.0
2023-05-18 20:00:00,23.41,22.83,96.33,,0.04,0.12,986.23,0.0,0.0,0.0,0.0
2023-05-18 21:00:00,22.55,22.36,99.0,,0.0,0.01,986.52,0.0,0.0,0.0,0.0
2023-05-18 22:00:00,22.21,22.0,99.0,,0.15,0.32,986.52,0.0,0.0,0.0,0.0
2023-05-18 23:00:00,21.94,21.74,99.0,,0.11,0.27,986.09,0.0,0.0,0.0,0.0
2023-05-19 00:00:00,21.43,21.25,99.0,,0.3,0.72,985.51,0.0,0.0,0.0,0.0
2023-05-19 01:00:00,21.56,21.35,98.83,,0.2,0.62,985.07,0.0,0.0,0.0,0.0
2023-05-19 02:00:00,22.1,21.56,96.42,,0.29,0.75,984.62,0.0,0.0,0.0,0.0
2023-05-19 03:00:00,22.19,21.65,96.33,,0.03,0.17,984.42,0.0,0.0,0.0,0.0
2023-05-19 04:00:00,22.2,21.43,95.58,,0.36,0.76,984.36,0.0,0.0,0.0,0.0
2023-05-19 05:00:00,21.65,21.24,97.25,,0.01,0.19,984.34,0.0,0.0,0.0,2.17
2023-05-19 06:00:00,21.95,21.35,96.33,,0.34,0.67,984.93,0.0,0.0,0.0,53.02
2023-05-19 07:00:00,24.98,22.39,85.58,,0.9,1.52,985.47,0.0,0.0,1.25,165.18
2023-05-19 08:00:00,27.75,23.19,76.33,,0.52,0.99,985.81,0.0,0.0,3.25,390.33
2023-05-19 09:00:00,29.56,23.47,69.92,,1.19,2.09,985.84,0.0,0.0,5.42,602.46
2023-05-19 10:00:00,30.94,23.62,64.92,,1.97,3.07,985.47,0.0,0.0,6.08,697.68
2023-05-19 11:00:00,31.79,23.68,62.0,,1.9,2.91,984.39,0.0,0.0,6.25,701.93
2023-05-19 12:00:00,32.06,23.31,60.0,,1.22,1.98,983.77,0.0,0.0,5.17,569.43
